source_video,output_image,relative_image,frame_index,time_seconds,source_fps,width,height,blur_score
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005700_t000190.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005700_t000190.00s.jpg,5700,190.00,30.000,1280,1024,1593.85
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005760_t000192.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005760_t000192.00s.jpg,5760,192.00,30.000,1280,1024,5264.60
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005820_t000194.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005820_t000194.00s.jpg,5820,194.00,30.000,1280,1024,4506.34
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005880_t000196.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005880_t000196.00s.jpg,5880,196.00,30.000,1280,1024,6489.11
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005940_t000198.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f005940_t000198.00s.jpg,5940,198.00,30.000,1280,1024,4260.32
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006000_t000200.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006000_t000200.00s.jpg,6000,200.00,30.000,1280,1024,1077.09
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006060_t000202.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006060_t000202.00s.jpg,6060,202.00,30.000,1280,1024,772.51
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006120_t000204.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006120_t000204.00s.jpg,6120,204.00,30.000,1280,1024,677.89
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006180_t000206.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006180_t000206.00s.jpg,6180,206.00,30.000,1280,1024,676.60
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006480_t000216.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006480_t000216.00s.jpg,6480,216.00,30.000,1280,1024,521.28
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006600_t000220.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006600_t000220.00s.jpg,6600,220.00,30.000,1280,1024,688.01
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006900_t000230.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f006900_t000230.00s.jpg,6900,230.00,30.000,1280,1024,689.81
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007200_t000240.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007200_t000240.00s.jpg,7200,240.00,30.000,1280,1024,764.41
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007260_t000242.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007260_t000242.00s.jpg,7260,242.00,30.000,1280,1024,695.48
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007320_t000244.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007320_t000244.00s.jpg,7320,244.00,30.000,1280,1024,662.32
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007380_t000246.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007380_t000246.00s.jpg,7380,246.00,30.000,1280,1024,657.57
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007440_t000248.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007440_t000248.00s.jpg,7440,248.00,30.000,1280,1024,661.55
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007500_t000250.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007500_t000250.00s.jpg,7500,250.00,30.000,1280,1024,676.46
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007560_t000252.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007560_t000252.00s.jpg,7560,252.00,30.000,1280,1024,750.53
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007620_t000254.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007620_t000254.00s.jpg,7620,254.00,30.000,1280,1024,744.41
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007680_t000256.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007680_t000256.00s.jpg,7680,256.00,30.000,1280,1024,772.60
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007740_t000258.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007740_t000258.00s.jpg,7740,258.00,30.000,1280,1024,783.91
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007800_t000260.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007800_t000260.00s.jpg,7800,260.00,30.000,1280,1024,703.08
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007860_t000262.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007860_t000262.00s.jpg,7860,262.00,30.000,1280,1024,709.95
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007920_t000264.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007920_t000264.00s.jpg,7920,264.00,30.000,1280,1024,680.33
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007980_t000266.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f007980_t000266.00s.jpg,7980,266.00,30.000,1280,1024,668.57
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008040_t000268.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008040_t000268.00s.jpg,8040,268.00,30.000,1280,1024,688.80
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008100_t000270.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008100_t000270.00s.jpg,8100,270.00,30.000,1280,1024,728.69
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008160_t000272.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008160_t000272.00s.jpg,8160,272.00,30.000,1280,1024,726.80
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008220_t000274.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008220_t000274.00s.jpg,8220,274.00,30.000,1280,1024,738.48
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008580_t000286.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008580_t000286.00s.jpg,8580,286.00,30.000,1280,1024,678.91
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008640_t000288.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008640_t000288.00s.jpg,8640,288.00,30.000,1280,1024,995.93
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008700_t000290.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008700_t000290.00s.jpg,8700,290.00,30.000,1280,1024,1032.65
videoTermal\DJI_20260326174236_0001_T.MP4,smoke_dataset\data\frames_thermal_batch_01\DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008760_t000292.00s.jpg,DJI_20260326174236_0001_T\DJI_20260326174236_0001_T_f008760_t000292.00s.jpg,8760,292.00,30.000,1280,1024,2418.68
