epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,679.461,2.30568,2.50699,1.75956,1.12641,0,0.49393,0.26623,0.27668,0.10265,0.46417,0.24242,0.27086,0.08113,1.88924,1.94109,1.76068,0.76985,0,0.00149374,0.00149374,0.00149374
29,703.366,2.23248,2.3333,1.77416,1.06991,0,0.65356,0.23232,0.27226,0.09156,0.52138,0.21212,0.20997,0.06519,1.93999,1.93049,1.78632,0.77877,0,0.00145945,0.00145945,0.00145945
30,727.071,2.1957,2.263,1.6662,1.05252,0,0.21526,0.30303,0.14728,0.04769,0.24895,0.33333,0.24075,0.06006,1.92688,1.72911,1.75042,0.75904,0,0.00142447,0.00142447,0.00142447
31,751.566,2.21518,2.51615,1.68087,1.10209,0,0.23411,0.26263,0.18335,0.05622,0.22558,0.27273,0.18765,0.06246,1.92635,1.70822,1.81558,0.7572,0,0.00138886,0.00138886,0.00138886
32,775.321,2.14898,2.33092,1.66554,1.11722,0,0.29935,0.31313,0.1639,0.05517,0.34563,0.34343,0.23441,0.0651,1.91745,1.63018,1.763,0.73395,0,0.00135266,0.00135266,0.00135266
33,799.433,2.27202,2.28187,1.74202,1.08966,0,0.42619,0.26258,0.27855,0.0899,0.29934,0.24242,0.19306,0.05125,1.90948,1.73693,1.56556,0.72735,0,0.00131593,0.00131593,0.00131593
34,823.128,2.04467,2.30349,1.57353,1.04705,0,0.54143,0.25253,0.27161,0.07841,0.25778,0.33333,0.20107,0.05378,2.02163,1.7202,1.41855,0.78837,0,0.00127873,0.00127873,0.00127873
35,846.827,2.17439,2.21236,1.55275,1.04585,0,0.32848,0.32612,0.24645,0.09467,0.33253,0.33215,0.24665,0.06937,1.9243,1.83396,1.38825,0.79226,0,0.00124111,0.00124111,0.00124111
36,870.734,2.18018,2.1902,1.56259,1.07396,0,0.46941,0.33333,0.30137,0.12274,0.36252,0.36364,0.31917,0.08982,1.85078,1.81829,1.31798,0.74788,0,0.00120314,0.00120314,0.00120314
37,894.51,2.19086,2.31335,1.46696,1.08424,0,0.43445,0.35696,0.31523,0.11066,0.3791,0.29606,0.28424,0.0756,1.87426,1.96494,1.37287,0.76483,0,0.00116487,0.00116487,0.00116487
